"Path","Platform","Compiled","Cooked","Permutations","Compiletime","CompiledDouble","CookedDouble"
"/Game/Characters/Mannequins/Materials/M_Mannequin.M_Mannequin","0","56","64","2","0.000000","0","64"
"/InterchangeAssets/gltf/M_Default.M_Default","0","166","192","9","180.250687","0","192"
"/InterchangeAssets/gltf/M_ClearCoat.M_ClearCoat","0","118","136","6","0.000000","0","136"
"/SpeedTreeImporter/SpeedTree9/SpeedTreeMaster.SpeedTreeMaster","0","28","32","1","0.000000","0","32"
"/Engine/OpenWorldTemplate/LandscapeMaterial/M_ProcGrid.M_ProcGrid","0","8","8","1","14.782758","23","46"
"/InterchangeAssets/gltf/M_Transmission.M_Transmission","0","36","36","2","0.000000","0","36"
"/InterchangeAssets/gltf/M_Sheen.M_Sheen","0","110","120","6","0.000000","0","120"
"/InterchangeAssets/gltf/M_SpecularGlossiness.M_SpecularGlossiness","0","110","120","6","0.000000","0","120"
"/SpeedTreeImporter/SpeedTree9/SpeedTreeBillboardMaster.SpeedTreeBillboardMaster","0","28","32","1","0.000000","0","32"
"/Engine/EngineMaterials/Widget3DPassThrough.Widget3DPassThrough","0","45","50","6","0.000000","0","55"
"/Engine/EditorLandscapeResources/LandscapeLayerUsageMaterial.LandscapeLayerUsageMaterial","0","2","2","1","0.000000","0","2"
"/InterchangeAssets/gltf/M_Unlit.M_Unlit","0","90","100","6","0.000000","0","100"
"/Engine/EngineSky/M_SimpleSkyDome.M_SimpleSkyDome","0","2","2","1","0.000000","0","2"
"/Engine/EngineSky/VolumetricClouds/m_SimpleVolumetricCloud.m_SimpleVolumetricCloud","0","90","90","1","0.000000","0","90"
"/Engine/EngineSky/M_Sky_Panning_Clouds2.M_Sky_Panning_Clouds2","0","2","2","1","0.000000","0","2"
"/MeshModelingToolsetExp/Materials/PointSetOverlaidComponentMaterial.PointSetOverlaidComponentMaterial","0","8","9","1","0.000000","0","9"
"/Engine/EditorLandscapeResources/MaskBrushMaterial.MaskBrushMaterial","0","5","5","1","0.000000","0","10"
"/Engine/EngineMaterials/LineSetComponentMaterial.LineSetComponentMaterial","0","10","11","1","0.000000","0","11"
"/Game/UtopianCity/Materials/M_Brut.M_Brut","0","6","7","1","0.000000","0","7"
"/Engine/VREditor/SnapGrid/SnapGridMaterial.SnapGridMaterial","0","14","14","1","0.000000","0","14"
"/Paper2D/DefaultSpriteMaterial.DefaultSpriteMaterial","0","36","42","2","0.000000","0","42"
"/Engine/EditorLandscapeResources/LandscapeDirtyMaterial.LandscapeDirtyMaterial","0","5","5","1","0.000000","0","5"
"/Engine/EditorLandscapeResources/SelectBrushMaterial.SelectBrushMaterial","0","10","10","2","0.000000","0","10"
"/Engine/EngineMaterials/DefaultTextMaterialOpaque.DefaultTextMaterialOpaque","0","14","16","1","0.000000","0","16"
"/Engine/VREditor/TransformGizmo/TransformGizmoMaterial.TransformGizmoMaterial","0","2","2","1","0.000000","0","2"
"/ControlRig/M_Manip.M_Manip","0","8","9","1","0.000000","0","9"
"/Engine/EngineMaterials/PhAT_JointLimitMaterial.PhAT_JointLimitMaterial","0","8","9","1","0.000000","0","9"
"/Engine/EditorLandscapeResources/LayerVisMaterial.LayerVisMaterial","0","2","2","1","0.000000","0","2"
"/Engine/EditorLandscapeResources/ColorMaskBrushMaterial.ColorMaskBrushMaterial","0","5","5","1","0.000000","0","5"
"/Engine/EngineMaterials/EmissiveMeshMaterial.EmissiveMeshMaterial","0","14","14","1","0.000000","0","14"
"/Engine/EngineMaterials/M_InvalidLightmapSettings.M_InvalidLightmapSettings","0","6","6","1","0.000000","0","6"
"/Engine/EngineMaterials/FlattenMaterial.FlattenMaterial","0","9","9","1","0.000000","0","9"
"/Engine/EngineMaterials/FlattenMaterial_VT.FlattenMaterial_VT","0","6","6","1","0.000000","0","6"
"/Engine/EngineMaterials/FlattenMaterial_WS_Normal_VT.FlattenMaterial_WS_Normal_VT","0","6","6","1","0.000000","0","6"
"/Engine/EditorMaterials/PreviewShadowIndicatorMaterial.PreviewShadowIndicatorMaterial","0","25","25","1","0.000000","0","25"
"/Engine/EngineMaterials/WorldGridMaterial.WorldGridMaterial","0","584","606","1","0.000000","0","606"
"/Engine/EngineMaterials/DefaultMaterial.DefaultMaterial","0","24","24","1","0.000000","0","24"
"/Engine/EngineMaterials/DefaultDeferredDecalMaterial.DefaultDeferredDecalMaterial","0","75","75","1","0.000000","0","75"
"/Engine/EngineMaterials/DefaultPostProcessMaterial.DefaultPostProcessMaterial","0","31","31","1","0.000000","0","31"
"/Engine/EngineDebugMaterials/M_VolumeRenderSphereTracePP.M_VolumeRenderSphereTracePP","0","5","5","1","0.000000","0","5"
"/HairStrands/Materials/HairDebugMaterial.HairDebugMaterial","0","57","63","1","0.000000","0","63"
"/Engine/EngineMaterials/DefaultLightFunctionMaterial.DefaultLightFunctionMaterial","0","37","37","1","0.000000","0","37"
"/Engine/EditorMaterials/Camera/CineMat.CineMat","0","6","6","1","0.000000","0","6"
"/Engine/EngineMaterials/PPM_DefaultCalibrationColor.PPM_DefaultCalibrationColor","0","5","5","1","0.000000","0","5"
"/Engine/EngineMaterials/PPM_DefaultCalibrationGrayscale.PPM_DefaultCalibrationGrayscale","0","5","5","1","0.000000","0","5"
"/Engine/EngineDebugMaterials/DebugEditorMaterial.DebugEditorMaterial","0","5","6","1","0.000000","0","6"
"/HairStrands/Materials/HairDefaultMaterial.HairDefaultMaterial","0","33","36","1","0.000000","0","36"
"/Engine/VREditor/TransformGizmo/TranslucentTransformGizmoMaterial.TranslucentTransformGizmoMaterial","0","5","5","1","0.000000","0","5"
"/Engine/EngineDebugMaterials/DebugMeshMaterial.DebugMeshMaterial","0","7","7","1","0.000000","0","7"
"/Engine/EditorLandscapeResources/SplineEditorMeshMat.SplineEditorMeshMat","0","10","12","1","0.000000","0","12"
"/HairStrands/Materials/HairCardsDefaultMaterial.HairCardsDefaultMaterial","0","57","63","1","0.000000","0","63"
"/HairStrands/Materials/HairMeshesDefaultMaterial.HairMeshesDefaultMaterial","0","33","36","1","0.000000","0","36"
"/Engine/EngineDebugMaterials/M_SimpleUnlitTranslucent.M_SimpleUnlitTranslucent","0","5","5","1","0.000000","0","5"
"/ControlRig/Controls/ControlRigXRayMaterial.ControlRigXRayMaterial","0","8","9","1","0.000000","0","9"
